,Product Name,Company,Export Country,Date,Units Sold,unit_price,Profit per unit,Export Value,Destination Port,Transportation Mode,Profit,Cost of goods sold,Profit Margin,company_short
0,Rubber,Farmgate Nigeria Limited,Austria,2023-11-16,721,31443.05,5863.92,22670439.05,Lagos,Sea,4227886.32,18442552.73,0.19,FNL
1,Palm Oil,Prime Agro Exports Nigeria Limited,Germany,2021-01-08,881,23151.97,5868.73,20396885.57,Lagos,Sea,5170351.13,15226534.440000001,0.25,PAENL
2,Cassava,Farmgate Nigeria Limited,Germany,2020-10-14,702,18536.45,5105.01,13012587.9,Calabar,Sea,3583717.02,9428870.88,0.28,FNL
3,Rubber,Nigerian Export Promotion Council (NEPC),Belgium,2022-12-31,191,21981.31,7781.54,4198430.21,Warri,Sea,1486274.14,2712156.0700000003,0.35,NEPC
4,Sesame,Nigeria Agro Export Company,France,2022-12-19,373,13415.94,9590.95,5004145.62,Lagos,Sea,3577424.35,1426721.27,0.71,NAEC
5,Palm Oil,Greenfield Agro Exporters Nigeria Limited,Netherlands,2021-07-13,593,44749.95,4498.48,26536720.35,Lagos,Sea,2667598.6399999997,23869121.71,0.1,GAENL
6,Rubber,Solid Agro Nigeria Limited,Denmark,2022-02-22,142,21985.66,5963.85,3121963.72,Lagos,Sea,846866.7000000001,2275097.02,0.27,SANL
7,Sesame,Nigerian Export Promotion Council (NEPC),Sweden,2021-03-22,990,16931.73,3464.19,16762412.7,Calabar,Sea,3429548.1,13332864.6,0.2,NEPC
8,Rubber,Agro Export Nigeria Ltd,Denmark,2022-08-01,606,17896.94,5326.45,10845545.64,Lagos,Sea,3227828.6999999997,7617716.940000001,0.3,AENL
9,Cashew,Golden Farms Nigeria Limited,Netherlands,2020-11-26,900,42463.53,5468.54,38217177.0,Lagos,Sea,4921686.0,33295491.0,0.13,GFNL
10,Rubber,Nigerian Export Promotion Council (NEPC),Switzerland,2022-12-10,192,23536.16,2812.83,4518942.72,Lagos,Sea,540063.36,3978879.36,0.12,NEPC
11,Ginger,Agriplus Nigeria Limited,Italy,2021-06-21,566,15516.87,3043.78,8782548.42,Warri,Sea,1722779.4800000002,7059768.9399999995,0.2,ANL
12,Cashew,Agriplus Nigeria Limited,Denmark,2022-08-26,220,37731.49,5466.27,8300927.8,Warri,Sea,1202579.4000000001,7098348.399999999,0.14,ANL
13,Cassava,Agro Allied Exporters Nigeria Limited,Spain,2020-10-14,963,29641.1,7617.73,28544379.3,Calabar,Sea,7335873.989999999,21208505.310000002,0.26,AAENL
14,Plantain,Greenfield Agro Exporters Nigeria Limited,Italy,2023-07-10,700,24041.35,3922.05,16828945.0,Lagos,Sea,2745435.0,14083510.0,0.16,GAENL
15,Plantain,Golden Farms Nigeria Limited,Sweden,2021-06-19,341,20126.79,5442.89,6863235.39,Calabar,Sea,1856025.4900000002,5007209.899999999,0.27,GFNL
16,Rubber,Solid Agro Nigeria Limited,Austria,2022-06-17,250,27849.16,4734.07,6962290.0,Lagos,Sea,1183517.5,5778772.5,0.17,SANL
17,Cassava,Agro Export Nigeria Ltd,Denmark,2021-03-14,641,22151.23,9884.51,14198938.43,Port Harcourt,Sea,6335970.91,7862967.52,0.45,AENL
18,Rubber,Farmgate Nigeria Limited,Sweden,2021-06-27,393,23647.19,5405.19,9293345.67,Lagos,Sea,2124239.67,7169106.0,0.23,FNL
19,Plantain,Nigeria Agro Export Company,Netherlands,2023-12-23,592,32644.13,7497.09,19325324.96,Lagos,Sea,4438277.28,14887047.68,0.23,NAEC
20,Palm Oil,Agro Allied Exporters Nigeria Limited,Belgium,2022-08-24,194,24659.84,5943.96,4784008.96,Port Harcourt,Sea,1153128.24,3630880.7199999997,0.24,AAENL
21,Cocoa,Agriplus Nigeria Limited,Sweden,2022-06-02,438,43305.68,9195.72,18967887.84,Lagos,Sea,4027725.36,14940162.48,0.21,ANL
22,Sesame,Agro Export Nigeria Ltd,France,2020-07-14,347,11714.81,2929.83,4065039.07,Lagos,Sea,1016651.01,3048388.0599999996,0.25,AENL
23,Cashew,Golden Farms Nigeria Limited,Sweden,2022-10-13,238,31839.65,8488.97,7577836.7,Lagos,Sea,2020374.8599999999,5557461.84,0.27,GFNL
24,Rubber,Greenfield Agro Exporters Nigeria Limited,Netherlands,2023-09-24,246,39938.99,9327.05,9824991.54,Lagos,Sea,2294454.3,7530537.239999999,0.23,GAENL
25,Cocoa,Solid Agro Nigeria Limited,Sweden,2022-06-09,930,40089.03,8651.12,37282797.9,Port Harcourt,Sea,8045541.600000001,29237256.299999997,0.22,SANL
26,Palm Oil,Agro Allied Exporters Nigeria Limited,Sweden,2023-07-03,218,34380.18,5264.59,7494879.24,Lagos,Sea,1147680.62,6347198.62,0.15,AAENL
27,Cocoa,Agro Allied Exporters Nigeria Limited,Spain,2023-02-23,981,39948.71,5611.36,39189684.51,Warri,Sea,5504744.159999999,33684940.35,0.14,AAENL
28,Cocoa,Solid Agro Nigeria Limited,Germany,2020-10-07,449,22573.52,5849.58,10135510.48,Lagos,Sea,2626461.42,7509049.0600000005,0.26,SANL
29,Sesame,Agro Export Nigeria Ltd,Austria,2020-11-17,256,34710.58,6530.19,8885908.48,Lagos,Sea,1671728.64,7214179.840000001,0.19,AENL
30,Cashew,Nigeria Agro Export Company,Belgium,2021-10-25,309,36171.2,5485.99,11176900.8,Lagos,Sea,1695170.91,9481729.89,0.15,NAEC
31,Plantain,Greenfield Agro Exporters Nigeria Limited,Italy,2022-04-11,316,33608.72,8153.51,10620355.52,Port Harcourt,Sea,2576509.16,8043846.359999999,0.24,GAENL
32,Ginger,Farmgate Nigeria Limited,Netherlands,2022-12-30,519,46462.39,7563.66,24113980.41,Calabar,Sea,3925539.54,20188440.87,0.16,FNL
33,Cashew,Nigeria Agro Export Company,Denmark,2020-11-29,987,38561.5,9018.41,38060200.5,Lagos,Sea,8901170.67,29159029.83,0.23,NAEC
34,Ginger,Agriplus Nigeria Limited,Netherlands,2022-01-21,536,10387.59,9458.22,5567748.24,Lagos,Sea,5069605.92,498142.3200000003,0.91,ANL
35,Cocoa,Greenfield Agro Exporters Nigeria Limited,Netherlands,2023-10-12,997,32753.28,8951.58,32655020.16,Calabar,Sea,8924725.26,23730294.9,0.27,GAENL
36,Rubber,Prime Agro Exports Nigeria Limited,Sweden,2023-03-26,408,39571.27,5584.52,16145078.16,Lagos,Sea,2278484.16,13866594.0,0.14,PAENL
37,Rubber,Golden Farms Nigeria Limited,Belgium,2020-09-30,227,14985.53,2169.04,3401715.31,Lagos,Sea,492372.08,2909343.23,0.14,GFNL
